,법정동,년,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
105,개포동,2018.0,11380.0,710.2,1222.8,1543.2,1571.8,1879.6,1941.0,1511.6,725.8,222.4,46.2,5.4
106,개포동,2019.0,13044.0,889.8,1374.8,1697.6,1839.0,2165.6,2160.2,1748.2,857.6,253.0,52.4,5.8
107,개포동,2020.0,13825.0,983.4,1395.4,1755.2,1910.0,2293.4,2262.0,1925.0,956.2,281.6,56.2,6.6
108,개포동,2021.0,15114.4,1114.6,1612.8,1844.4,1996.0,2554.4,2485.6,2083.2,1046.0,316.4,57.6,3.4
109,개포동,2022.0,15327.6,1104.8,1664.2,1800.2,2030.8,2584.6,2526.2,2070.2,1132.0,352.8,59.4,2.4
110,개화동,2012.0,25850.0,1951.0,2492.0,3788.0,4420.0,3948.0,4486.0,2598.0,1574.0,510.0,68.0,15.0
111,개화동,2013.0,25706.0,1859.0,2398.0,3744.0,4258.0,3969.0,4479.0,2730.0,1650.0,524.0,78.0,17.0
112,개화동,2014.0,25054.0,1711.0,2177.0,3641.0,4113.0,3830.0,4336.0,2874.0,1702.0,574.0,77.0,19.0
113,개화동,2015.0,24930.0,1657.0,2011.0,3647.0,3999.0,3797.0,4249.0,3083.0,1758.0,629.0,82.0,18.0
114,개화동,2016.0,24780.0,1590.0,1842.0,3714.0,3984.0,3698.0,4126.0,3215.0,1845.0,657.0,93.0,16.0
115,개화동,2017.0,24490.0,1515.0,1746.0,3708.0,3868.0,3585.0,4008.0,3294.0,1928.0,729.0,87.0,22.0
116,개화동,2018.0,24108.0,1400.0,1672.0,3564.0,3830.0,3419.0,3908.0,3410.0,2012.0,769.0,101.0,23.0
117,개화동,2019.0,23716.0,1302.0,1564.0,3499.0,3659.0,3310.0,3817.0,3529.0,2074.0,829.0,108.0,25.0
118,개화동,2020.0,23122.0,1169.0,1451.0,3324.0,3493.0,3192.0,3704.0,3625.0,2129.0,885.0,124.0,26.0
119,개화동,2021.0,23355.0,1174.0,1402.0,3334.0,3774.0,3235.0,3501.0,3818.0,2056.0,924.0,133.0,4.0
120,개화동,2022.0,23123.0,1080.0,1361.0,3195.0,3816.0,3187.0,3421.0,3829.0,2069.0,1020.0,142.0,3.0
121,거여동,2012.0,14729.333333333334,1427.3333333333333,1745.3333333333333,1919.6666666666667,2605.3333333333335,2645.6666666666665,2221.6666666666665,1273.6666666666667,653.6666666666666,200.0,34.0,3.0
122,거여동,2013.0,14466.0,1351.3333333333333,1659.3333333333333,1837.0,2440.3333333333335,2624.0,2274.3333333333335,1337.6666666666667,695.3333333333334,206.33333333333334,37.333333333333336,3.0
123,거여동,2014.0,14159.666666666666,1254.6666666666667,1582.6666666666667,1797.3333333333333,2315.0,2553.0,2270.6666666666665,1401.0,721.3333333333334,225.0,35.333333333333336,3.6666666666666665
124,거여동,2015.0,17022.666666666668,1849.6666666666667,1879.0,2014.6666666666667,2808.3333333333335,3209.6666666666665,2555.0,1596.0,793.6666666666666,274.3333333333333,39.0,3.3333333333333335
125,거여동,2016.0,17161.333333333332,1828.3333333333333,1799.3333333333333,2027.6666666666667,2688.0,3271.0,2665.0,1708.0,832.3333333333334,295.0,42.666666666666664,4.0
